index,x,y,w_left,w_right
177,3736.181149,73727.488676,1.4798,1.4826
178,3735.293235,73727.027295,1.4833,1.4826
179,3734.405321,73726.565914,1.4846,1.4826
180,3733.517408,73726.104533,1.4859,1.4826
181,3732.629494,73725.643152,1.4872,1.4826
182,3731.741580,73725.181771,1.4885,1.4826
183,3730.853894,73724.719952,1.4894,1.4831
184,3729.966585,73724.257408,1.4894,1.4844
185,3729.079276,73723.794864,1.4894,1.4857
186,3728.191968,73723.332321,1.4894,1.4870
187,3727.304659,73722.869777,1.4894,1.4884
188,3726.413128,73722.415628,1.4862,1.4783
189,3725.512727,73721.979117,1.4862,1.4426
190,3724.620494,73721.526340,1.4680,1.4250
191,3723.724178,73721.085728,1.4449,1.3948
192,3722.778322,73720.760651,1.4679,1.2426
193,3721.795545,73720.685001,1.5519,0.8526
194,3720.813074,73720.829014,1.5702,0.2682
195,3719.916424,73721.265041,0.5348,1.2625
196,3719.130090,73721.863595,0.6329,0.0475
197,3718.328627,73722.454741,1.4136,0.6276
198,3717.691991,73723.224484,0.3493,0.4757
199,3717.130568,73724.052048,0.5176,1.7313
200,3716.671073,73724.940192,1.5176,1.0321
201,3716.178248,73725.811046,1.8954,0.0318
202,3715.710421,73726.695327,1.8954,0.9686
203,3715.256693,73727.587176,1.8954,1.9218
204,3714.802966,73728.479025,1.8954,1.9385
205,3714.353878,73729.373187,1.9006,1.9500
206,3713.915090,73730.272480,1.9173,1.9500
207,3713.476301,73731.171773,1.9340,1.9500
208,3713.037513,73732.071066,1.9067,1.9500
209,3712.591991,73732.967042,1.7169,1.9660
210,3712.158832,73733.869036,1.5063,1.9692
211,3711.726540,73734.771468,1.1494,1.9654
212,3711.293353,73735.673473,0.6056,1.7000
213,3710.860166,73736.575478,0.0126,0.8132
214,3710.424849,73737.476452,1.2294,0.6579
215,3709.986296,73738.375860,0.9677,1.4192
216,3709.547742,73739.275268,0.4802,1.5889
217,3709.122030,73740.179902,0.6095,0.1795
218,3708.807906,73741.129949,1.5825,0.8101
219,3708.496643,73742.080933,1.9322,1.5693
220,3708.196298,73743.034496,1.8433,1.9277
221,3708.096437,73744.030132,1.8433,1.8654
222,3708.037843,73745.028578,1.8359,1.8880
223,3708.121676,73746.018981,1.7258,1.7687
224,3708.316067,73747.000549,1.7258,1.7950
225,3708.623857,73747.951181,1.7784,1.8190
226,3709.012002,73748.872064,1.7367,1.7574
227,3709.438816,73749.777102,1.7367,1.8756
228,3710.173313,73750.453251,1.8317,1.8482
229,3710.947743,73751.086908,1.8317,1.8465
230,3711.731505,73751.708915,1.8467,1.8524
231,3712.591689,73752.212952,1.8141,1.8112
232,3713.481114,73752.671413,1.8141,1.8031
233,3714.370539,73753.129875,1.8141,1.7949
234,3715.259963,73753.588337,1.8141,1.7867
235,3716.149388,73754.046799,1.8141,1.7786
236,3717.038813,73754.505260,1.8141,1.7704
237,3717.928238,73754.963722,1.8141,1.7622
238,3718.817662,73755.422184,1.8141,1.7541
239,3719.705468,73755.883755,1.8105,1.7494
240,3720.591121,73756.349462,1.8024,1.7494
241,3721.476774,73756.815168,1.7942,1.7494
242,3722.362427,73757.280874,1.7860,1.7494
243,3723.248080,73757.746580,1.7779,1.7494
244,3724.133733,73758.212286,1.7697,1.7494
245,3725.019386,73758.677992,1.7615,1.7494
246,3725.905039,73759.143699,1.7534,1.7494
247,3726.820075,73759.543369,1.7404,1.7625
248,3727.775119,73759.839133,1.7639,1.7819
249,3728.764562,73759.973855,1.7972,1.8245
250,3729.764768,73759.999943,1.8352,1.8417
251,3730.753026,73759.924017,1.9488,1.9691
252,3731.734404,73759.732755,2.0109,2.0227
253,3732.652906,73759.358679,2.1067,2.1641
254,3733.376665,73758.676008,2.0536,2.0682
255,3734.038159,73757.925400,1.9846,2.0429
256,3734.570160,73757.079129,1.9721,1.9565
257,3735.117182,73756.241746,1.9160,1.6437
258,3735.604365,73755.367749,1.1663,0.8338
259,3736.078882,73754.486785,0.2402,0.0155
260,3736.553398,73753.605821,0.6918,1.4749
261,3737.027915,73752.724857,0.9371,0.5736
262,3737.502431,73751.843893,0.3277,0.9965
263,3737.977096,73750.963009,1.1080,1.8448
264,3738.455963,73750.084402,1.6774,1.9277
265,3738.934830,73749.205795,1.9163,1.9326
266,3739.413697,73748.327188,1.9462,1.9376
267,3739.892564,73747.448582,1.9462,1.9425
268,3740.364496,73746.566309,1.9444,1.9405
269,3740.820816,73745.675783,1.9444,1.9234
270,3741.277135,73744.785258,1.9444,1.9063
271,3741.733455,73743.894732,1.9444,1.8892
272,3742.199878,73743.009493,1.9330,1.8835
273,3742.671341,73742.126891,1.9159,1.8835
274,3743.142803,73741.244289,1.8988,1.4092
275,3743.617775,73740.363635,1.8784,0.4089
276,3744.119811,73739.498659,0.5896,1.6923
277,3744.699496,73738.686859,1.5758,0.7050
278,3745.413769,73737.992217,0.2400,0.6104
279,3746.317170,73737.561949,0.1869,0.6281
280,3747.261564,73737.437892,0.7311,0.6020
281,3748.240901,73737.564235,1.0690,1.6020
282,3749.193187,73737.828546,1.2719,1.5483
283,3750.127895,73738.178425,1.3907,1.4867
284,3751.039630,73738.586718,1.4471,1.4494
285,3751.928729,73739.045532,1.4526,1.4462
286,3752.819840,73739.500708,1.4698,1.4462
287,3753.708069,73739.961407,1.4808,1.4524
288,3754.591224,73740.431834,1.4808,1.4696
289,3755.475917,73740.899340,1.4808,0.8584
290,3756.363260,73741.361819,1.4806,0.1422
291,3757.250286,73741.824904,1.4048,1.1429
292,3758.137383,73742.287854,0.8867,1.2804
293,3759.024480,73742.750803,0.8870,0.1139
294,3759.911577,73743.213753,0.5511,0.5590
295,3760.798164,73743.677678,0.1380,0.0480
296,3761.685503,73744.140163,0.0965,0.3352
297,3762.572842,73744.602649,1.0972,0.8575
298,3763.460180,73745.065135,0.4833,0.7124
299,3764.347519,73745.527621,0.1193,0.3053
300,3765.234858,73745.990107,0.4712,1.0436
301,3766.122197,73746.452593,1.2296,0.6293
302,3767.009536,73746.915079,0.1462,0.0804
303,3767.896831,73747.377649,0.3952,0.0188
304,3768.783920,73747.840613,0.8062,0.5331
305,3769.671010,73748.303578,0.1588,0.9560
306,3770.558099,73748.766542,1.1594,1.2748
307,3771.445224,73749.229439,1.4744,0.8691
308,3772.332469,73749.692105,0.1315,1.4744
309,3773.219537,73750.155105,1.1321,1.4747
310,3774.106360,73750.618574,1.4755,1.4754
311,3774.993465,73751.081509,1.4757,1.4754
312,3775.880519,73751.544542,1.4757,1.4755
313,3776.767547,73752.007623,1.4757,1.4756
314,3777.654576,73752.470704,1.4757,1.4758
315,3778.541670,73752.933658,1.4759,1.4758
316,3779.428780,73753.396584,1.4764,1.4758
317,3780.315762,73753.859754,1.4767,1.4761
318,3781.202639,73754.323125,1.4767,1.4766
319,3782.089516,73754.786495,1.4767,1.4772
320,3782.976556,73755.249555,1.4770,1.4774
321,3783.863709,73755.712396,1.4776,1.4774
322,3784.750842,73756.175278,1.4779,1.4775
323,3785.637813,73756.638469,1.4779,1.4779
324,3786.524784,73757.101660,1.4779,1.4778
325,3787.411744,73757.564872,1.4779,1.4776
326,3788.298641,73758.028205,1.4777,1.4776
327,3789.185538,73758.491537,1.4778,1.4776
328,3790.072479,73758.954786,1.4779,1.4775
329,3790.959738,73759.417425,1.4786,1.4775
330,3791.846997,73759.880064,1.4793,1.4775
331,3792.734000,73760.343194,1.4795,1.4780
332,3793.620937,73760.806450,1.4795,1.4787
333,3794.507875,73761.269705,1.4795,1.4794
334,3795.394811,73761.732962,1.4795,1.4794
335,3796.281744,73762.196227,1.4795,1.4794
336,3797.168677,73762.659491,1.4797,1.4794
337,3798.055561,73763.122848,1.4797,1.4796
338,3798.942426,73763.586242,1.4797,1.4797
339,3799.829291,73764.049635,1.4797,1.4803
340,3800.716203,73764.512940,1.4798,1.4809
341,3801.603387,73764.975722,1.4805,1.4809
342,3802.490572,73765.438505,1.4806,1.4809
343,3803.377781,73765.901238,1.4809,1.4809
344,3804.264671,73766.364585,1.4809,1.4815
345,3805.151561,73766.827931,1.4809,1.4821
346,3806.038479,73767.291223,1.4810,1.4826
347,3806.925652,73767.754027,1.4816,1.4826
348,3807.812826,73768.216830,1.4822,1.4826
349,3808.699819,73768.679978,1.4824,1.4824
350,3809.586688,73769.143365,1.4824,1.4824
351,3810.473559,73769.606748,1.4823,1.4824
352,3811.360449,73770.070094,1.4823,1.4824
353,3812.247339,73770.533441,1.4823,1.4823
354,3813.134228,73770.996787,1.4823,1.4831
355,3814.021440,73771.459516,1.4830,1.4831
356,3814.908684,73771.922184,1.4840,1.4831
357,3815.795646,73772.385393,1.4843,1.4838
358,3816.682446,73772.848912,1.4843,1.4844
359,3817.569246,73773.312430,1.4843,1.4844
360,3818.456064,73773.775914,1.4844,1.4845
361,3819.342906,73774.239352,1.4844,1.4845
362,3820.229892,73774.702514,1.4839,1.4842
363,3821.144251,73775.106915,1.4706,1.2456
364,3822.091630,73775.427584,1.4657,0.9173
365,3823.065216,73775.655822,1.1697,0.4164
366,3824.057495,73775.781233,0.2562,0.4276
367,3825.057563,73775.800431,0.4480,1.4184
368,3826.053675,73775.710368,1.4655,0.3950
369,3827.035308,73775.519428,0.1110,0.0920
370,3827.991346,73775.226382,0.8902,0.8961
371,3828.911882,73774.835996,0.4249,1.4746
372,3829.786565,73774.351536,1.4706,0.1265
373,3830.605288,73773.777717,1.4755,0.5871
374,3831.360592,73773.122607,1.4802,0.9538
375,3832.044217,73772.392875,1.4854,1.2224
376,3832.648570,73771.596052,1.4916,1.3897
